s0,s10,s90,s90d
109,70,97,18
12,19,15,0
104,73,92,9
38,22,11,3
39,35,10,4
82,68,70,8
40,30,15,0
107,65,109,15
36,25,6,0
43,31,12,0
92,73,63,13
98,67,82,16
13,14,4,0
88,85,89,4
30,11,13,1
43,32,13,2
99,77,75,15
93,50,22,4
93,76,86,12
99,75,67,3
95,78,108,20
90,78,89,9
46,29,11,4
42,35,15,1
98,71,95,13
25,27,16,3
100,76,114,17
97,65,74,8
88,73,79,13
112,82,159,15
95,54,66,6
90,72,86,4
80,65,50,7
14,18,6,0
85,64,68,8
106,98,126,26
86,67,60,6
106,76,107,16
85,61,77,16
84,76,79,4
78,60,64,4
81,62,59,10
86,69,72,9
81,40,19,3
116,86,176,19
111,79,110,23
96,61,58,8
36,23,11,4
114,85,95,11
106,71,130,24
89,64,57,3
87,62,71,5
12,13,5,0
108,97,126,18
94,67,53,6
82,66,63,0
95,71,77,7
14,16,8,0
40,31,14,1
32,31,9,1
51,27,11,1
97,78,100,17
101,68,84,12
45,32,13,2
103,67,97,8
81,68,65,13
37,33,15,4
100,70,97,17
107,59,84,10
86,67,76,10
78,45,72,7
116,68,149,23
106,96,91,13
108,80,111,23
97,42,15,0
115,78,122,24
112,78,140,12
97,71,88,8
107,67,102,24
58,34,14,1
44,28,14,0
96,76,94,3
88,61,85,7
98,63,87,10
89,62,76,7
94,80,106,12
96,54,89,10
40,16,12,1
107,72,90,10
102,87,100,12
50,36,8,0
108,70,109,16
99,88,122,25
104,82,109,16
37,31,5,2
45,40,17,0
108,78,108,20
89,68,49,7
48,36,6,3
102,79,79,10
44,31,15,3
116,73,144,15
118,84,128,28
45,33,9,2
47,29,13,3
115,72,99,18
47,25,12,1
45,14,16,0
84,70,89,4
108,78,134,13
82,63,81,9
99,71,81,13
92,68,87,17
78,71,75,2
113,85,150,15
119,95,184,28
83,61,42,6
56,38,10,0
99,74,99,14
13,16,15,3
94,49,14,3
92,71,99,16
111,82,102,9
106,94,103,16
13,11,3,4
90,46,20,1
108,80,125,19
48,39,15,4
37,32,12,3
103,80,113,23
86,78,96,10
99,68,80,13
108,78,156,28
92,79,110,18
43,31,12,1
93,58,80,12
52,43,15,0
44,34,18,0
96,70,118,10
28,17,10,4
125,86,183,27
105,72,106,15
38,31,13,4
117,82,92,10
81,69,67,4
95,81,74,16
117,77,129,11
101,70,109,9
83,72,84,3
28,24,13,4
115,86,141,17
99,78,69,11
100,73,78,14
89,68,71,5
111,94,101,18
97,64,92,16
41,31,11,2
94,64,76,15
94,54,62,8
82,59,85,6
