red_flag,s0,s10,s90,s90d
1,86,47,19,0
0,100,73,98,7
0,94,82,96,12
0,103,75,84,6
1,35,35,6,0
2,92,90,127,23
1,48,34,19,0
0,102,71,79,10
1,16,18,2,0
0,92,70,77,9
0,104,80,89,14
0,98,64,91,7
0,116,93,92,11
2,97,77,121,27
2,101,79,106,24
0,80,69,71,13
0,99,69,63,5
1,34,16,9,7
0,90,75,74,10
2,96,95,129,14
0,93,62,84,9
1,37,31,12,5
2,106,73,144,26
0,107,76,78,12
2,107,69,108,11
0,83,68,54,7
0,105,76,94,15
0,90,61,74,4
1,43,31,16,0
0,111,76,93,17
1,31,25,8,1
2,108,74,105,11
0,83,58,68,13
2,115,78,119,19
2,100,81,121,19
0,104,73,88,17
1,47,33,7,0
0,95,82,54,10
1,44,34,6,0
0,85,65,96,7
2,101,74,105,23
1,27,25,5,0
0,82,63,65,9
0,96,63,91,8
2,94,59,111,17
1,55,32,18,3
2,90,70,111,20
0,106,67,81,10
0,96,85,90,22
0,89,68,60,4
0,100,70,89,13
0,92,62,87,9
1,59,40,9,5
0,96,73,91,18
0,89,63,64,2
2,111,80,113,18
2,120,53,116,18
1,80,38,16,2
2,114,99,98,14
1,100,67,19,0
0,102,77,73,6
1,52,27,6,2
2,123,88,167,15
2,111,70,123,15
1,49,44,11,0
2,107,74,121,24
1,85,39,15,0
0,92,69,67,4
2,83,83,103,15
0,86,63,92,7
0,104,69,72,13
1,88,39,16,0
0,99,75,97,20
0,92,71,90,6
1,18,4,23,2
0,88,67,78,9
0,83,65,65,12
2,111,84,130,22
2,115,77,120,19
2,111,68,111,15
2,99,70,101,16
2,100,78,113,28
0,85,64,72,15
1,39,31,14,0
1,49,31,11,2
0,94,71,91,17
0,101,86,81,22
1,23,16,42,7
0,117,75,90,9
2,101,79,129,22
1,38,26,16,2
2,102,70,102,15
0,106,76,87,8
0,102,83,78,19
0,82,63,60,8
1,45,23,19,0
1,29,23,4,1
0,80,64,48,7
0,99,65,67,3
2,114,86,102,7
1,19,22,1,2
1,14,13,0,1
0,109,69,87,13
0,95,71,64,4
1,35,24,14,4
0,96,72,73,7
0,87,73,57,3
2,109,77,117,22
0,86,61,56,5
0,111,77,92,26
2,112,75,119,16
2,103,71,116,13
2,104,68,127,21
0,100,65,98,7
2,114,80,100,22
2,102,77,107,20
0,97,67,82,13
0,92,68,72,9
1,47,45,7,4
1,39,35,11,0
1,52,36,17,1
0,93,61,64,9
0,76,73,93,7
0,77,61,52,6
0,84,69,70,3
2,107,78,106,14
0,84,66,55,6
1,43,36,9,2
2,97,79,101,10
2,104,74,131,22
0,104,83,84,19
0,89,64,71,5
1,45,36,7,0
1,94,43,33,5
1,43,30,12,1
1,46,32,8,0
0,82,70,74,11
1,46,35,15,1
0,110,101,80,11
2,112,80,124,26
1,36,26,3,0
2,102,83,110,20
2,122,72,106,21
0,94,55,81,6
0,94,70,85,6
2,111,73,120,32
1,35,31,7,2
0,86,74,71,7
2,127,79,126,32
2,124,113,133,10
1,48,39,19,3
1,51,29,11,3
0,93,60,89,13
1,64,28,14,3
1,40,26,14,1
0,99,62,84,9
1,41,36,8,2
1,15,18,1,0
0,93,71,69,7
0,96,62,88,6
2,142,75,113,14
2,118,81,161,28
2,96,86,104,12
1,85,39,10,0
0,90,79,65,10
0,103,72,82,9
0,95,69,78,8
0,86,74,79,6
1,36,32,11,0
1,48,35,12,0
0,94,62,66,10
0,98,59,60,18
1,41,25,13,1
2,112,85,102,16
0,103,89,83,17
1,41,32,8,1
0,87,64,74,11
1,97,46,23,2
0,94,57,76,12
1,22,5,14,0
0,88,69,66,8
0,91,68,99,21
2,100,72,110,20
1,42,31,8,0
0,91,67,86,14
1,32,34,10,3
0,97,73,88,16
0,97,60,89,6
0,92,62,71,11
2,116,88,138,19
2,110,96,107,16
0,83,67,39,5
1,37,29,11,3
1,41,29,11,0
0,94,59,49,5
0,98,69,71,8
0,93,78,78,10
0,108,82,97,14
0,99,85,81,18
0,97,57,96,11
0,109,84,85,16
2,107,75,103,11
0,102,72,79,6
0,99,72,75,16
0,100,75,84,12
2,119,80,112,29
1,55,29,8,0
2,101,78,106,13
2,116,82,113,8
0,91,64,76,9
0,94,79,80,14
0,82,70,94,9
2,110,77,121,16
0,91,67,88,7
1,41,31,7,0
0,94,67,76,9
0,94,72,74,5
0,95,87,81,14
0,101,79,91,10
0,83,62,52,6
2,93,69,121,13
2,104,68,106,18
1,50,46,19,0
2,149,110,109,15
2,104,70,104,18
0,85,62,85,8
0,88,69,59,10
2,98,86,109,19
1,56,46,17,1
1,48,39,14,0
2,109,83,109,17
0,93,57,86,16
1,41,27,11,3
1,46,33,12,0
0,93,52,66,5
1,15,12,5,2
2,104,98,112,16
2,112,74,123,16
0,99,71,83,14
0,106,76,97,10
0,110,75,84,8
0,92,57,62,7
0,104,71,91,15
1,22,14,8,0
0,90,75,78,11
0,100,76,80,8
0,92,75,86,1
2,122,113,125,12
0,59,59,91,12
1,48,33,16,2
1,51,31,13,3
2,100,69,107,11
0,91,60,68,7
0,97,71,81,19
2,97,70,106,23
1,44,30,9,0
2,97,75,106,8
1,36,21,18,2
1,57,40,5,2
1,35,30,8,0
1,15,16,1,4
2,106,87,130,13
0,98,69,61,8
0,100,65,79,10
1,17,15,2,0
0,89,74,86,10
0,99,74,73,10
1,59,34,16,2
1,49,36,8,0
2,109,90,104,11
1,11,11,4,0
1,34,32,7,1
2,106,86,149,24
0,96,66,81,14
0,71,66,42,6
0,85,61,65,0
1,35,16,11,0
0,93,76,97,13
0,89,68,74,11
0,99,70,84,12
0,102,78,97,17
1,112,45,12,0
0,99,80,82,5
0,98,73,85,18
0,87,57,80,8
0,92,66,72,10
0,83,69,57,12
1,34,27,16,3
0,83,64,58,6
0,82,62,40,4
1,46,28,14,0
0,99,66,100,19
0,96,92,78,11
2,114,71,120,10
0,87,65,77,12
1,34,19,12,1
1,44,39,11,0
0,91,66,73,5
1,47,30,14,0
0,91,67,79,11
1,31,26,3,2
2,110,73,108,20
1,27,22,22,2
0,100,71,79,6
1,42,31,13,0
0,100,69,80,6
1,44,27,13,0
0,96,63,69,14
2,111,87,134,17
0,99,66,101,21
1,12,16,15,3
2,110,71,103,8
0,93,70,70,7
0,91,83,75,8
1,83,29,18,0
2,96,72,104,7
1,76,41,23,1
0,92,65,64,16
0,104,72,94,14
2,115,83,150,19
0,95,70,78,9
2,102,81,112,13
0,95,83,74,7
1,35,26,8,5
0,93,67,91,13
1,38,19,9,0
2,104,82,114,17
0,82,67,89,19
0,97,66,74,11
1,60,29,7,3
0,98,67,60,8
2,103,79,113,20
1,33,28,14,2
0,85,65,77,11
2,114,84,143,31
2,125,110,162,19
1,29,25,8,2
0,106,75,74,7
2,104,70,101,23
1,42,28,17,2
1,29,28,14,0
